==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-kwnss ====
I1102 06:03:17.031718       1 dns.go:48] version: 1.14.4-2-g5584e04
I1102 06:03:17.032861       1 server.go:70] Using configuration read from directory: /kube-dns-config with period 10s
I1102 06:03:17.032980       1 server.go:113] FLAG: --alsologtostderr="false"
I1102 06:03:17.032999       1 server.go:113] FLAG: --config-dir="/kube-dns-config"
I1102 06:03:17.033008       1 server.go:113] FLAG: --config-map=""
I1102 06:03:17.033014       1 server.go:113] FLAG: --config-map-namespace="kube-system"
I1102 06:03:17.033022       1 server.go:113] FLAG: --config-period="10s"
I1102 06:03:17.033036       1 server.go:113] FLAG: --dns-bind-address="0.0.0.0"
I1102 06:03:17.033046       1 server.go:113] FLAG: --dns-port="10053"
I1102 06:03:17.033055       1 server.go:113] FLAG: --domain="cluster.local."
I1102 06:03:17.033062       1 server.go:113] FLAG: --federations=""
I1102 06:03:17.033072       1 server.go:113] FLAG: --healthz-port="8081"
I1102 06:03:17.033083       1 server.go:113] FLAG: --initial-sync-timeout="1m0s"
I1102 06:03:17.033089       1 server.go:113] FLAG: --kube-master-url=""
I1102 06:03:17.033097       1 server.go:113] FLAG: --kubecfg-file=""
I1102 06:03:17.033102       1 server.go:113] FLAG: --log-backtrace-at=":0"
I1102 06:03:17.033120       1 server.go:113] FLAG: --log-dir=""
I1102 06:03:17.033130       1 server.go:113] FLAG: --log-flush-frequency="5s"
I1102 06:03:17.033140       1 server.go:113] FLAG: --logtostderr="true"
I1102 06:03:17.033148       1 server.go:113] FLAG: --nameservers=""
I1102 06:03:17.033155       1 server.go:113] FLAG: --stderrthreshold="2"
I1102 06:03:17.033160       1 server.go:113] FLAG: --v="2"
I1102 06:03:17.033165       1 server.go:113] FLAG: --version="false"
I1102 06:03:17.033176       1 server.go:113] FLAG: --vmodule=""
I1102 06:03:17.033581       1 server.go:176] Starting SkyDNS server (0.0.0.0:10053)
I1102 06:03:17.033836       1 server.go:198] Skydns metrics enabled (/metrics:10055)
I1102 06:03:17.033852       1 dns.go:147] Starting endpointsController
I1102 06:03:17.033856       1 dns.go:150] Starting serviceController
I1102 06:03:17.034075       1 logs.go:41] skydns: ready for queries on cluster.local. for tcp://0.0.0.0:10053 [rcache 0]
I1102 06:03:17.034087       1 logs.go:41] skydns: ready for queries on cluster.local. for udp://0.0.0.0:10053 [rcache 0]
I1102 06:03:17.534070       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:18.034019       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:18.534017       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:19.034028       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:19.534019       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:20.034034       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:20.534017       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:21.034015       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:21.534014       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:22.034026       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:22.534029       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:23.034027       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:23.534085       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:24.034053       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:24.534107       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:25.034036       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:25.534024       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:26.034016       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:26.534043       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:27.034012       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:27.534029       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:28.034030       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:28.534023       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:29.034040       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:29.534127       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1102 06:03:30.034038       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
