==== START logs for container kubedns of pod kube-system/kube-dns-545bc4bfd4-qdscf ====
I1103 03:51:40.572310       1 dns.go:48] version: 1.14.4-2-g5584e04
I1103 03:51:40.572882       1 server.go:70] Using configuration read from directory: /kube-dns-config with period 10s
I1103 03:51:40.572922       1 server.go:113] FLAG: --alsologtostderr="false"
I1103 03:51:40.572930       1 server.go:113] FLAG: --config-dir="/kube-dns-config"
I1103 03:51:40.572934       1 server.go:113] FLAG: --config-map=""
I1103 03:51:40.572937       1 server.go:113] FLAG: --config-map-namespace="kube-system"
I1103 03:51:40.572940       1 server.go:113] FLAG: --config-period="10s"
I1103 03:51:40.572943       1 server.go:113] FLAG: --dns-bind-address="0.0.0.0"
I1103 03:51:40.572946       1 server.go:113] FLAG: --dns-port="10053"
I1103 03:51:40.572950       1 server.go:113] FLAG: --domain="cluster.local."
I1103 03:51:40.572955       1 server.go:113] FLAG: --federations=""
I1103 03:51:40.572958       1 server.go:113] FLAG: --healthz-port="8081"
I1103 03:51:40.572963       1 server.go:113] FLAG: --initial-sync-timeout="1m0s"
I1103 03:51:40.572966       1 server.go:113] FLAG: --kube-master-url=""
I1103 03:51:40.572970       1 server.go:113] FLAG: --kubecfg-file=""
I1103 03:51:40.572972       1 server.go:113] FLAG: --log-backtrace-at=":0"
I1103 03:51:40.572977       1 server.go:113] FLAG: --log-dir=""
I1103 03:51:40.572980       1 server.go:113] FLAG: --log-flush-frequency="5s"
I1103 03:51:40.572982       1 server.go:113] FLAG: --logtostderr="true"
I1103 03:51:40.572985       1 server.go:113] FLAG: --nameservers=""
I1103 03:51:40.572991       1 server.go:113] FLAG: --stderrthreshold="2"
I1103 03:51:40.572993       1 server.go:113] FLAG: --v="2"
I1103 03:51:40.572996       1 server.go:113] FLAG: --version="false"
I1103 03:51:40.573000       1 server.go:113] FLAG: --vmodule=""
I1103 03:51:40.573062       1 server.go:176] Starting SkyDNS server (0.0.0.0:10053)
I1103 03:51:40.573357       1 server.go:198] Skydns metrics enabled (/metrics:10055)
I1103 03:51:40.573371       1 dns.go:147] Starting endpointsController
I1103 03:51:40.573375       1 dns.go:150] Starting serviceController
I1103 03:51:40.573468       1 logs.go:41] skydns: ready for queries on cluster.local. for tcp://0.0.0.0:10053 [rcache 0]
I1103 03:51:40.573482       1 logs.go:41] skydns: ready for queries on cluster.local. for udp://0.0.0.0:10053 [rcache 0]
I1103 03:51:41.073524       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:51:41.573558       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
I1103 03:51:42.073572       1 dns.go:174] Waiting for services and endpoints to be initialized from apiserver...
