==== START logs for container kube-scheduler of pod kube-system/kube-scheduler-k8s-master2 ====
I1102 09:13:04.335581       1 controller_utils.go:1041] Waiting for caches to sync for scheduler controller
I1102 09:13:04.435798       1 controller_utils.go:1048] Caches are synced for scheduler controller
I1102 09:13:04.435862       1 leaderelection.go:174] attempting to acquire leader lease...
E1102 15:29:34.554507       1 leaderelection.go:258] Failed to update lock: Operation cannot be fulfilled on endpoints "kube-scheduler": the object has been modified; please apply your changes to the latest version and try again
W1103 02:17:13.396659       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1.Service ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:18:21.123938       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1.PersistentVolume ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:19:24.409055       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1.PersistentVolumeClaim ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:21:04.402498       1 reflector.go:334] k8s.io/kubernetes/plugin/cmd/kube-scheduler/app/server.go:103: watch of *v1.Pod ended with: very short watch: k8s.io/kubernetes/plugin/cmd/kube-scheduler/app/server.go:103: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:21:07.394753       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1.ReplicationController ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:22:42.392981       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1beta1.StatefulSet ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:24:28.397754       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1beta1.ReplicaSet ended with: very short watch: k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: Unexpected watch close - watch lasted less than a second and no items received
W1103 02:36:25.866648       1 reflector.go:334] k8s.io/kubernetes/vendor/k8s.io/client-go/informers/factory.go:73: watch of *v1beta1.ReplicaSet ended with: too old resource version: 143442 (146759)
==== END logs for container kube-scheduler of pod kube-system/kube-scheduler-k8s-master2 ====
